group_name,technique_id,attack_id,technique,tactic,platforms
APT28,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,initial-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
Lazarus Group,attack-pattern--fb640c43-aa6b-431e-a961-a279010424ac,T1561.001,Disk Content Wipe,impact,"Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec,T1025,Data from Removable Media,collection,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--8c41090b-aa47-4331-986b-8c9a51a91103,T1491.001,Internal Defacement,impact,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,T1110,Brute Force,credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT41,attack-pattern--e624264c-033a-424d-9fd7-fc9c3bbdb03e,T1550.002,Pass the Hash,lateral-movement,Windows
Lazarus Group,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,T1588.002,Tool,resource-development,PRE
Lazarus Group,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179,T1547.009,Shortcut Modification,persistence,Windows
Lazarus Group,attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179,T1547.009,Shortcut Modification,privilege-escalation,Windows
Lazarus Group,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,T1059.005,Visual Basic,execution,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,T1542.003,Bootkit,stealth,"Linux, Windows"
Lazarus Group,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,T1542.003,Bootkit,persistence,"Linux, Windows"
Lazarus Group,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,T1218.011,Rundll32,stealth,Windows
